General Government Debt (Percent of GDP);1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Hungary;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;70.457.287;63.444.392;73.996.389;76.234.441;86.956.358;85.871.664;83.868.392;7.116.823;62.195.736;60.422.119;60.296.603;55.637.609;5.220.472;55.556.735;58.174.428;58.907.097;60.578.757;64.488.944;65.579.937;71.801.081;78.188.368;80.174.301;80.468.347;78.363.984;77.220.233;76.490.502;75.724.127;74.645.886;72.001.639;68.816.159;64.988.431;78.686.584;76.214.604;73.861.006;72.966.242;73.454.354
Iceland;14.551.616;14.449.046;13.642.236;10.718.979;9.255.047;85.625.906;67.108.068;66.477.082;51.131.326;49.617.047;1.363.206;84.949.271;7.466.512;78.944.387;79.748.071;77.793.918;5.563;87.958.246;14.221.076;14.641.349;11.442.099;11.748.565;14.543.656;1.146.252;12.541.627;16.387.483;17.174.001;18.375.301;19.803.421;21.067.239;24.774.048;22.372.047;28.948.088;30.751.438;32.424.858;32.016.791;2.986.556;27.326.043;30.588.221;35.286.097;35.489.942;37.607.619;45.401.092;5.229.382;54.808.423;58.070.268;55.574.695;52.047.615;43.952.795;76.592.958;75.796.302;83.382.672;8.215.995;8.506.786;80.861.399;68.931.071;70.651.032;68.404.314;11.035.666;12.877.334;1.331.411;1.381.759;13.392.495;1.219.603;11.529.913;97.322.974;82.471.489;71.742.256;63.246.715;66.527.874;77.511.551;74.915.257;67.534.232;61.991.208;59.077.272
India;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;76.653.394;78.762.417;78.328.376;74.752.747;70.875.515;67.133.481;69.007.533;69.283.871;71.266.784;74.940.513;80.110.431;84.304.258;85.882.905;84.890.373;82.377.826;77.941.104;75.455.097;74.367.659;72.769.814;67.701.787;68.647.829;67.984.532;67.713.353;67.102.041;69.048.587;68.943.091;69.669.383;70.392.344;75.040.396;88.426.608;83.486.538;8.217.323;81.230.795;81.285.982
Indonesia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;87.437.299;73.702.115;62.339.381;55.642.692;51.328.172;42.611.727;35.847.734;3.812.094;30.252.037;26.483.126;26.363.125;23.106.018;22.954.664;24.884.377;24.645.273;27.013.304;27.955.461;29.395.537;30.422.723;30.563.455;39.747.126;41.140.307;40.140.611;39.601.294;40.188.701
Ireland;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;63.457.207;64.601.484;68.781.936;73.450.466;86.146.982;90.231.415;92.958.831;10.723.114;10.826.389;10.650.778;97.920.509;92.656.185;93.763.033;90.567.092;93.368.515;88.020.232;78.521.928;69.833.403;61.578.386;51.413.883;46.570.142;3.641.231;33.577.882;30.889.572;29.832.048;28.103.149;26.059.681;23.653.226;23.948.394;42.513.736;6.176.463;86.134.993;10.942.825;11.872.992;11.749.445;10.127.588;73.961.599;72.639.624;65.233.855;61.471.633;55.924.411;5.700.719;52.564.195;43.149.197;43.283.309;41.113.213
Israel;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;24.744.242;26.976.935;18.904.517;1.543.494;13.607.035;138.094;14.004.626;13.134.453;11.747.931;11.365.231;11.239.251;10.467.956;93.058.226;91.563.174;90.170.138;91.952.618;8.651.851;77.145.572;81.046.995;87.127.336;89.542.273;88.183.138;85.174.746;77.473.512;7.068.641;7.015.042;72.467.188;6.894.016;67.097.338;66.787.618;65.798.056;64.709.572;63.123.233;61.472.602;59.651.717;59.917.299;5.909.019;71.092.806;67.793.322;60.466.603;61.471.816;67.848.206
Italy;30.985.153;31.419.462;33.488.384;34.436.082;36.245.068;362.088;35.250.606;34.633.152;34.577.334;35.805.078;3.210.793;30.727.608;29.671.921;27.867.411;27.893.226;29.080.489;34.036.151;33.853.469;36.351.827;36.997.262;3.776.759;42.447.456;4.821.675;51.091.296;50.770.501;57.899.269;57.265.414;55.954.093;59.912.763;58.870.119;5.508.883;57.294.829;61.797.134;67.816.309;73.129.843;79.097.925;83.389.922;87.406.186;89.224.548;91.784.655;95.295.572;98.643.589;10.535.722;11.547.945;12.157.852;11.908.785;11.889.628;11.649.059;11.388.689;11.305.855;10.874.276;10.851.307;10.594.745;10.514.083;10.474.201;10.617.675;10.625.696;1.034.635;1.058.016;11.613.887;11.875.559;11.912.696;12.589.866;13.185.192;13.479.525;13.478.817;13.423.978;1.337.409;13.419.834;13.389.806;15.437.916;14.581.247;13.834.522;13.463.732;13.532.627
Japan;no data;no data;no data;no data;no data;13.503.016;14.889.601;12.019.665;12.831.277;121.211;10.413.437;84.405.844;90.138.887;86.562.559;85.252.259;97.786.935;11.216.134;11.356.836;1.181.746;11.436.378;1.124.863;12.604.938;16.305.228;15.896.144;16.705.092;20.889.573;26.097.625;31.102.928;39.046.826;43.812.703;47.775.621;52.814.987;57.730.372;6.351.113;65.601.839;68.309.844;74.079.102;75.833.458;71.944.262;65.674.493;63.232.682;62.384.549;66.765.616;72.837.523;84.361.173;92.525.578;9.805.354;10.497.094;11.601.995;12.950.119;1.356.086;14.512.353;15.409.566;16.002.076;16.948.993;1.745.947;17.414.256;17.295.109;18.085.069;19.880.682;20.587.929;21.916.162;22.609.283;22.945.072;23.328.113;22.827.837;23.242.123;23.132.077;2.323.803;23.638.106;25.836.886;25.365.204;24.830.916;23.997.054;23.665.953
Kazakhstan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;38.862.365;23.997.407;21.472.088;12.703.905;17.969.482;22.466.314;32.700.842;2.533.529;20.470.313;1.759.187;14.962.494;11.391.569;81.044.071;66.769.522;40.919.887;67.658.701;10.227.029;10.682.735;10.161.007;12.125.267;12.602.508;14.496.344;21.881.937;19.677.354;19.869.432;2.025.854;19.943.728;26.357.133;25.100.451;23.524.056;22.981.963;24.804.028
Kiribati;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;24.618.913;50.336.477;77.172.836;84.314.679;73.143.991;10.926.422;12.292.221;12.268.996;11.016.619;10.716.406;98.079.154;11.841.201;12.692.737;17.009.963;13.264.962;12.314.688;13.623.095;12.115.057;1.287.117;11.114.365;13.852.604;10.274.681;94.299.438;88.024.805;813.481;88.600.617;89.748.964;18.795.442;21.231.001;20.158.678;18.982.646;18.959.089;20.978.412;17.346.953;16.315.788;11.416.383;99.160.102
Korea. Republic of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;12.787.315;1.192.572;11.645.269;10.862.126;96.310.384;8.484.557;78.105.397;96.939.101;1.381.718;15.759.142;16.087.068;16.625.069;16.444.395;19.101.829;21.602.522;24.917.414;27.043.411;26.345.625;25.856.443;28.790.524;28.274.647;31.700.104;33.535.501;36.003.965;37.876.458;38.842.657;39.143.586;38.011.446;37.854.018;39.729.917;45.915.048;47.987.823;49.797.859;50.696.557;52.487.525
Kosovo;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;68.970.197;64.522.451;55.688.228;85.589.811;94.248.023;11.190.025;13.423.798;14.471.867;16.378.668;17.136.626;17.669.284;22.486.709;21.581.322;20.040.694;17.517.588;16.911.462
Kyrgyz Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;42.400.659;52.425.663;57.651.788;64.802.583;85.123.349;11.956.963;12.330.265;10.820.749;10.794.147;10.823.028;92.666.456;85.660.709;7.335.469;57.743.779;49.011.562;58.494.401;5.969.859;50.055.759;50.477.879;47.124.756;53.596.786;67.087.345;59.072.818;58.786.107;54.817.991;48.848.251;63.643.007;56.201.055;46.821.912;41.950.261;36.644.889
Latvia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;97.780.641;89.927.678;74.680.554;98.148.542;14.834.073;15.094.145;17.825.176;15.383.298;15.424.208;14.349.438;11.579.581;9.619.883;76.022.296;16.947.918;33.315.121;40.901.874;39.810.208;38.081.956;3.719.229;39.874.588;35.787.108;39.927.747;40.329.585;38.304.373;37.910.846;44.036.922;45.873.811;44.429.487;44.646.745;47.362.754
Lithuania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;11.452.948;13.822.552;15.313.371;16.475.799;22.609.104;23.485.591;22.881.907;2.212.651;20.367.977;1.861.532;17.642.966;17.298.286;15.888.997;14.588.516;27.903.486;36.704.851;37.462.792;39.901.871;38.851.598;40.713.146;42.570.079;39.973.103;39.336.027;3.334.124;35.586.455;45.889.299;43.296.758;38.062.576;37.339.503;38.223.458
Luxembourg;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;88.260.147;93.116.863;98.389.507;99.958.891;99.910.849;10.392.532;85.659.838;71.820.854;59.134.566;50.929.285;47.171.145;40.803.756;48.259.415;6.027.942;54.950.393;10.282.325;1.016.793;10.062.098;9.510.229;83.936.603;74.941.269;76.231.794;74.478.931;7.434.648;78.298.935;79.501.998;82.051.207;80.917.592;14.627.489;15.285.257;19.089.586;18.503.093;20.849.113;22.407.036;21.863.325;2.113.316;19.597.566;21.802.238;20.870.062;22.338.861;24.532.707;24.184.585;24.901.572;25.024.478;25.981.139
Malaysia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;74.128.536;67.319.254;59.109.206;51.134.407;43.723.142;38.165.753;3.276.919;2.962.035;33.636.423;34.362.522;32.517.879;3.806.503;39.532.114;41.393.131;41.960.132;40.777.806;39.661.654;39.348.314;39.360.854;5.040.803;51.212.214;51.898.322;53.787.502;55.656.453;55.373.068;56.970.772;55.787.491;54.395.472;55.645.963;57.082.522;6.769.311;69.162.165;65.500.132;69.749.496;70.390.735
Malta;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;37.906.778;43.062.736;50.869.742;5.552.829;6.642.987;61.146.173;65.166.483;63.368.887;69.008.604;71.209.216;70.150.711;64.545.265;62.036.812;61.525.822;66.044.185;65.033.279;68.938.357;65.611.597;6.494.401;60.745.043;55.047.745;53.149.019;45.558.206;41.442.758;39.261.073;48.823.279;4.980.321;49.547.312;47.857.863;47.387.671
Marshall Islands;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;87.302.957;18.148.175;26.053.722;27.294.128;32.710.792;37.165.182;43.713.065;46.795.439;45.753.439;44.354.501;42.227.008;44.059.993;41.196.885;38.830.498;35.917.883;37.555.751;33.352.801;34.942.996;33.874.679;29.214.093;26.532.108;24.687.355;25.126.891;21.668.571;2.005.574;19.807.779;18.668.537;16.678.553
Mauritius;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;161.044;18.708.809;20.626.099;16.460.996;23.672.258;23.338.944;18.917.769;26.974.769;35.775.601;40.588.843;45.784.801;50.403.406;58.315.913;55.306.893;5.720.873;64.498.115;57.163.963;48.668.351;45.627.904;43.496.488;46.715.796;4.012.352;367.191;34.091.144;39.263.603;45.455.501;4.294.679;43.969.429;43.435.569;44.062.605;59.730.404;60.492.191;66.695.592;70.786.864;61.142.672;61.650.424;5.932.011;51.585.235;49.402.559;58.415.254;56.395.289;56.523.735;55.864.628;58.192.369;6.064.913;64.954.755;64.347.024;63.041.814;64.124.872;74.553.805;93.424.413;93.836.241;86.895.648;85.578.407;91.357.718
Micronesia. Fed. States of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;53.911.984;43.392.819;47.172.753;42.134.311;35.874.319;27.143.662;23.783.511;24.303.591;24.929.607;25.739.122;25.004.492;25.404.239;26.036.959;29.173.716;31.124.452;29.369.091;28.598.684;27.291.432;27.940.735;2.836.998;25.968.822;24.572.646;2.392.328;21.041.193;19.744.137;21.480.135;16.955.993;15.073.677;12.862.771;10.924.323
Moldova;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;79.480.332;87.491.984;89.048.893;15.940.985;15.073.894;890.985;85.380.111;80.342.406;68.059.108;49.334.543;40.421.213;34.984.433;28.274.787;22.195.314;32.612.371;25.474.632;24.200.726;31.332.957;29.974.304;35.363.117;42.096.207;39.677.552;34.860.448;31.799.548;28.792.071;36.633.372;33.638.625;35.037.618;34.943.219;38.132.142
Mongolia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;40.937.293;36.113.123;30.992.453;48.535.595;30.975.085;32.652.583;43.692.015;49.423.448;43.962.785;50.546.886;78.677.807;86.897.829;76.538.941;66.836.964;83.391.501;67.727.797;64.488.553;45.873.346;44.362.598
Montenegro;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;76.708.061;40.897.099;45.371.534;38.568.239;36.691.669;31.757.507;34.184.547;4.368.868;45.006.704;48.571.711;5.686.997;58.653.721;63.359.791;68.760.404;66.390.439;66.206.974;71.884.939;78.793.107;10.734.849;85.626.547;70.552.428;60.468.461;62.641.923
Nauru;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2.466.836;24.249.795;1.889.392;12.307.937;12.689.177;11.252.169;82.200.511;61.223.039;77.971.752;71.055.963;59.570.235;56.268.586;20.520.701;22.379.198;20.465.578;17.585.346
Netherlands;14.372.789;12.392.654;11.184.604;10.624.157;92.859.918;8.385.586;78.476.066;76.043.519;78.540.773;76.874.519;69.860.181;69.008.782;66.794.123;64.610.273;59.800.392;5.838.099;5.816.345;57.582.767;56.952.527;48.183.889;4.608.408;43.658.602;41.326.412;38.115.462;36.280.068;36.053.501;35.150.885;34.917.365;38.088.888;3.946.066;43.556.597;46.877.498;52.443.797;5.840.192;61.917.569;67.093.096;68.948.811;71.292.392;73.694.593;73.740.136;75.020.128;74.814.412;75.589.688;76.665.048;73.496.949;73.030.494;71.245.873;65.696.316;62.679.978;58.601;52.154.731;49.414.111;48.692.685;49.804.331;50.095.095;4.957.984;44.960.371;42.741.118;54.352.302;56.289.781;58.897.207;61.166.928;65.690.364;67.160.631;6.716.591;63.799.335;60.882.702;55.985.728;51.521.772;47.597.458;53.347.794;50.431.271;48.345.274;45.098.206;43.234.729
Nicaragua;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;8.640.458;86.469.963;99.826.428;95.219.355;87.475.545;11.038.549;10.954.021;84.047.522;66.607.603;5.115.567;30.916.019;25.999.247;29.258.146;3.034.714;28.794.343;2.785.246;28.835.446;28.689.616;28.910.783;30.923.391;34.654.189;39.091.497;44.203.758;49.159.634;48.433.362;45.918.849;42.260.507;39.118.415
Nigeria;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;17.430.772;17.576.815;18.289.297;1.815.553;21.024.081;24.469.154;25.355.339;28.695.436;30.192.283;35.625.273;36.788.649;40.435.144;48.673.118;52.900.153
North Macedonia ;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;53.248.525;21.316.747;23.486.779;29.337.176;33.102.896;30.445.276;45.560.813;452.145;40.464.236;36.461.255;34.580.017;3.666.909;3.058.568;23.531.595;20.641.671;23.729.338;24.272.662;27.728.043;33.662.031;34.039.645;38.036.011;37.997.501;39.721.188;39.382.734;40.425.274;40.448.434;50.845.999;52.749.568;50.449.301;50.827.147;54.833.632
Norway;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;41.067.404;41.071.102;41.565.059;40.263.477;37.786.536;39.081.613;40.791.129;46.571.255;53.436.341;56.893.148;47.683.235;433.953;38.488.391;35.405.423;35.212.364;36.921.428;45.995.717;38.519.394;32.429.622;32.338.066;28.944.201;39.241.698;44.995.186;53.651.698;5.064.338;32.737.746;28.445.878;25.756.917;2.357.386;24.959.494;2.866.787;27.233.392;33.944.999;43.077.617;43.829.032;42.326.586;52.587.025;49.515.078;47.545.024;42.543.956;42.951.602;29.610.855;30.908.325;31.427.175;29.661.327;34.334.223;37.938.117;38.256.533;3.941.292;40.558.203;46.112.391;41.641.312;36.110.942;44.211.779;42.719.202
Panama;1.347.352;12.552.143;12.536.232;13.094.017;13.476.563;16.048.265;15.716.753;16.514.241;19.916.143;2.164.974;22.919.673;27.194.307;25.931.062;24.986.595;25.765.646;25.564.479;33.198.887;35.656.301;3.817.042;30.198.858;32.313.293;35.336.182;37.849.206;40.965.862;43.834.618;3.800.954;52;55.072.691;63.101.908;69.016.112;74.890.953;76.542.305;80.860.285;86.574.746;82.536.475;82.541.651;83.990.594;92.204.033;10.503.539;10.440.368;1.126.521;10.369.364;91.230.606;83.553.504;78.366.427;76.670.884;65.034.409;60.193.502;58.137.844;55.149.157;53.586.347;5.782.223;56.981.791;5.647.603;58.780.601;5.933.002;54.740.138;47.440.039;40.032.808;3.906.729;38.109.474;35.644.385;3.404.403;33.738.145;34.733.454;34.250.384;33.617.624;33.571.981;3.559.319;39.862.552;6.149.288;54.403.834;52.702.151;51.493.673;56.618.902
Peru;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;51.464.262;48.304.296;47.440.949;4.881.299;4.884.523;4.468.555;41.848.239;3.381.814;29.574.986;26.513.855;26.648.093;2.353.731;2.136.401;19.730.345;1.883.949;19.210.937;22.476.186;22.947.914;23.165.992;23.473.821;24.697.854;3.232.491;33.656.557;31.919.023;31.186.676;30.921.257
Philippines;10.887.489;10.395.683;97.376.808;12.717.706;12.167.466;1.314.629;14.496.651;13.735.405;1.602.595;16.793.346;13.835.107;13.817.321;13.300.075;11.818.012;11.827.937;12.635.568;1.277.371;12.950.324;13.476.589;14.565.557;14.147.675;13.556.961;15.393.095;13.849.888;12.405.817;12.462.515;15.996.384;1.856.092;21.461.519;20.707.251;22.706.602;25.110.584;2.961.576;38.338.363;40.242.718;47.444.696;68.353.066;69.965.607;60.947.726;55.220.409;56.184.106;5.559.742;53.909.829;68.596.604;63.602.625;60.848.952;53.074.388;56.890.602;50.773.325;54.217.731;59.202.745;59.470.941;6.518.395;71.392.968;71.082.311;64.674.293;57.188.542;50.167.617;50.010.093;49.805.296;47.586.513;45.433.618;45.691.174;43.863.144;40.299.298;39.687.992;37.376.365;38.130.096;37.147.156;36.972.652;51.643.608;57.004.626;57.388.785;56.484.457;57.060.458
Poland;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;89.691.044;76.936.601;81.946.615;83.916.324;64.277.499;48.739.423;43.169.165;42.707.635;38.691.636;39.365.669;36.397.147;37.161.863;41.566.248;464.071;44.908.498;46.474.198;47.097.621;44.427.514;46.559.363;49.700.504;53.747.735;54.780.204;54.472.206;56.859.047;51.129.965;5.105.616;54.128.807;50.444.303;48.233.678;45.211.071;56.584.671;53.013.585;48.785.915;4.971.811;55.282.218
Portugal;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;20.635.641;20.321.388;19.012.841;17.807.647;1.744.451;25.295.294;30.799.295;32.228.411;36.162.084;2.467.699;35.003.265;43.195.232;47.219.237;51.297.804;56.889.441;61.246.053;60.809.186;58.211.623;5.779.821;56.318.261;60.213.027;63.915.451;58.095.741;57.231.096;60.421.384;62.214.774;6.331.226;5.871.551;55.615.697;55.405.536;54.193.086;57.380.182;60.043.745;63.897.307;67.099.497;72.249.082;73.679.427;72.727.962;75.642.592;87.799.038;10.007.539;11.402.387;12.860.352;13.084.079;13.245.326;1.310.233;13.118.025;12.602.922;1.211.123;11.610.971;13.409.638;12.387.825;11.123.173;97.732.783;94.927.404
Romania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;69.057.355;10.994.867;15.030.701;16.466.335;21.721.897;22.486.587;25.869.442;24.820.797;22.109.332;18.945.246;1.590.511;12.423.584;11.949.157;12.331.628;21.773.862;28.961.425;32.344.751;35.374.485;37.781.263;39.136.694;37.711.294;37.833.877;35.262.252;34.375.456;34.962.178;46.611.593;48.339.013;47.895.988;48.875.594;54.581.212
Russian Federation;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1.351.933;92.379.379;55.868.371;44.438.155;37.577.188;28.334.198;20.827.898;1.485.063;98.039.012;80.326.956;74.462.447;99.181.918;10.105.264;10.340.154;11.167.431;12.348.062;15.135.824;1.528.642;14.849.323;14.311.072;13.619.616;13.747.518;19.156.129;16.524.341;18.480.342;19.486.623;20.302.591
Saint Kitts and Nevis;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;5.066.627;67.221.842;79.031.072;89.184.837;9.647.671;10.517.495;11.971.714;1.406.838;15.312.967;13.009.738;14.034.831;13.540.188;12.340.831;12.906.777;13.490.111;12.707.425;12.135.875;91.499.447;69.335.519;62.190.728;57.365.643;53.330.469;53.910.648;54.280.852;67.962.937;69.092.278;60.200.253;55.928.592;52.190.957
Saint Vincent and the Grenadines;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;53.940.796;52.055.017;49.579.015;48.085.562;52.819.955;4.680.203;406.805;38.794.049;39.534.056;52.853.483;54.264.133;52.005.253;53.178.397;5.533.869;58.570.965;50.523.376;44.744.495;48.460.696;50.312.787;5.724.837;61.116.668;64.020.458;68.101.962;69.947.335;75.037.106;75.096.278;7.944.498;68.995.825;69.396.057;68.155.128;79.970.047;88.355.182;8.630.105;89.177.588;92.693.127
