geo,election_year,election_date,vs_AGR,vs_CHR,vs_CON,vs_DIV,vs_ECO,vs_ETH,vs_LEF,vs_LIB,vs_NAT,vs_SIP,vs_SOC,fragmentation_enp,polarization_dalton
DE,2021,2021-09-26,0.0,24.1,0.0,0.0,14.8,0.12,4.9,11.5,10.3,0.0,25.7,5.80482641131003,3.4332071753068587
DK,1994,1994-09-21,0.0,1.848,17.861,0.0,0.0,0.0,10.43,27.884,6.433,0.0,34.561,4.762750097883682,5.620845867514708
DK,1998,1998-03-11,0.0,2.51,13.23,0.0,0.0,0.0,10.26,27.860000000000003,9.83,0.0,35.93,4.73503187765511,4.140682094252849
DK,2001,2001-11-20,0.0,2.28,9.07,0.0,0.0,0.0,8.77,36.44,12.0,0.0,29.08,4.7015785832187875,4.915291182533131
DK,2005,2005-02-08,0.0,1.7,11.273,0.0,0.0,0.0,9.388,38.211999999999996,13.253,0.0,25.835,5.189346791839198,5.058379398933466
DK,2007,2007-11-13,0.0,0.0,10.39,0.0,0.0,0.0,15.209999999999999,34.19,13.86,0.0,25.47,5.413536830348201,2.843442288771245
DK,2011,2011-09-15,0.0,0.0,4.922,0.0,0.0,0.0,15.878,41.194,12.303,0.0,24.857,5.70690906146559,5.358579483105615
DK,2015,2015-06-18,0.0,0.0,3.353,0.0,0.0,0.0,16.789,31.58,21.078,0.0,26.284,5.8664767918095055,5.261851662729655
DK,2019,2019-06-05,0.0,0.0,6.622,0.0,0.0,0.0,17.603,34.35,11.091,0.0,25.905,6.4926723411034395,3.4897433410426557
EE,1995,1995-03-05,32.23,0.0,12.862,0.0,0.0,5.874,0.0,30.360999999999997,0.0,0.0,5.989,6.0282215047808085,1.8591401701467005
EE,1999,1999-03-07,14.902999999999999,0.0,16.09,0.0,0.0,6.13,0.0,39.333,0.0,0.0,15.205,6.942503575967306,2.7522073055787213
EE,2003,2003-03-02,13.027,0.0,31.915,0.0,0.0,0.0,0.0,43.114,0.0,0.0,7.036,5.442508071429959,1.3056837504706833
EE,2007,2007-03-04,7.13,0.0,17.87,0.0,7.14,0.0,0.0,53.9,0.0,0.0,10.06,5.059510468076563,2.95099490796971
EE,2011,2011-03-06,2.118,0.0,20.521,0.0,3.795,0.0,0.0,51.88,0.0,0.0,17.093,4.780901878136712,1.3686845517548123
EE,2015,2015-03-01,0.0,0.0,22.387999999999998,0.0,0.0,0.0,0.0,52.5,8.146,0.0,15.186,5.148259727792233,2.358340471495249
EE,2019,2019-03-03,0.0,0.0,11.444,0.0,0.0,0.0,0.0,52.033,17.762,0.0,9.833,5.224982997461202,3.0754428361832415
ES,1993,1993-06-06,0.0,1.772,35.04,0.0,0.0,9.5,9.63,0.0,0.0,0.0,39.1,3.470850491491415,1.796483697917693
ES,1996,1996-03-03,0.0,0.0,38.792,0.0,0.0,8.763,10.54,0.0,0.0,0.0,37.633,3.2710456288831455,2.207324795245875
ES,2000,2000-03-12,0.0,0.0,44.524,0.0,0.0,10.6,5.449,0.0,0.0,0.0,34.16,3.121560421830807,2.285250585807857
ES,2004,2004-03-14,0.0,0.0,37.708,0.0,0.0,11.032,4.96,0.0,0.0,0.0,42.586,3.0469375866212753,2.0927262739415298
ES,2008,2008-03-09,0.0,0.0,40.571,0.0,0.0,7.885,3.842,0.0,0.0,0.0,44.139,2.7601940863262913,1.8050125273518407
ES,2011,2011-11-20,0.0,0.0,45.24,0.0,0.0,8.618,7.021,4.76,0.0,1.9129999999999998,29.13,3.342839486322811,2.3995762370849905
ES,2015,2015-12-20,0.0,0.0,28.705,0.0,0.0,15.019,16.276,13.94,0.0,0.0,21.995,5.8451952037454165,2.5600759415301515
ES,2016,2016-06-26,0.0,0.0,33.015,0.0,0.0,28.075,0.0,13.061,0.0,0.0,22.632,5.030092804342033,2.6269601530683335
ES,2019,2019-04-28,0.0,0.0,16.828,0.0,0.0,9.767,10.794,15.98,10.342,0.0,28.899,6.270204511347938,4.333244860168114
ES,2023,2023-07-23,0.0,0.0,33.326659156414,0.0,0.0,9.731766601397753,10.03924,0.0,12.4839642111658,0.0,31.9417885449235,4.22172277383869,2.3465045517354612
FI,1995,1995-03-19,19.85,2.96,17.894,0.0,6.516,5.494,11.16,2.807,1.301,0.0,28.251,5.78751236663344,3.394840643982784
FI,1999,1999-03-21,22.399,4.127,21.03,0.0,7.27,5.51,10.878,0.0,0.99,0.0,22.86,5.930804776390707,3.8213849743626227
FI,2003,2003-03-16,24.694,5.337,18.551,0.0,8.008,4.614,9.928,0.0,1.569,0.0,24.473,5.656785171828301,3.479579911887276
FI,2007,2007-03-18,23.11,4.97,22.26,0.0,8.46,4.97,8.82,0.0,4.05,0.0,21.44,5.8670929774652,1.9979803583020226
FI,2011,2011-04-17,15.76,4.03,20.382,0.0,7.252,4.279,8.132,0.0,19.053,0.0,19.103,6.472422321419301,3.3036132189896414
FI,2015,2015-04-19,21.096,3.542,18.198,0.0,8.526,4.878,7.132,0.0,17.654,0.0,16.51,6.5774285709279345,2.6692991227358664
FI,2019,2019-04-14,13.755,3.898,17.001,0.0,11.493,4.909,8.171,2.253,17.483,0.0,17.732,7.454141434251933,2.612223325359534
FR,1993,1993-03-21,0.0,0.0,39.86,0.0,7.84,0.0,9.14,0.0,12.68,0.0,19.04,6.835684900081427,4.488410259308065
FR,1997,1997-05-25,0.0,0.0,31.49,0.0,6.266,0.0,9.901,0.0,14.932,0.0,25.484,6.718074523954065,4.749040727945302
FR,2002,2002-06-09,0.0,0.0,38.16,0.0,4.44,0.0,4.91,0.0,11.12,0.0,25.29,5.145194295914118,2.6135141514337294
FR,2007,2007-06-10,0.0,0.0,47.153,0.0,3.251,0.0,4.287,0.0,4.289,0.0,24.733,4.3851310661453535,2.51342638311278
FR,2012,2012-06-10,0.0,0.0,31.678,0.0,5.465,0.0,8.562,1.237,13.596,0.0,29.354,5.342028976987872,3.513898191260684
FR,2017,2017-06-11,0.0,0.0,19.889,0.0,4.297,0.0,14.211,31.246,13.2,0.0,7.441,6.9056015578418375,2.8355974155224763
FR,2022,2022-06-12,0.0,0.0,15.01,0.0,0.0,0.0,21.88,22.029999999999998,18.679232989054,0.0,3.78,8.093516077900839,3.907611558257549
GR,1993,1993-10-10,0.0,44.169000000000004,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0,46.883,2.6409751268235206,5.019433450227839
GR,1996,1996-09-22,0.0,41.068000000000005,0.0,0.0,0.0,0.0,10.729,0.0,0.0,0.0,45.931999999999995,3.066257438184402,1.7146391887190937
GR,2000,2000-04-09,0.0,42.73,0.0,0.0,0.0,0.0,8.73,0.0,0.0,0.0,43.79,2.6425399946446286,1.6096230750289406
GR,2004,2004-03-07,0.0,45.362,0.0,0.0,0.0,0.0,9.158,0.0,0.0,0.0,40.548,2.668620233310806,1.3264438853017506
GR,2007,2007-09-16,0.0,41.835,0.0,0.0,0.0,0.0,13.199,0.0,3.795,0.0,38.097,3.0230747669269817,2.51738590315962
GR,2009,2009-10-04,0.0,33.477,0.0,0.0,0.0,0.0,12.143,0.0,5.63,0.0,43.923,3.1648760105719305,4.891954304056686
GR,2012,2012-05-06,0.0,18.849,0.0,0.0,0.0,0.0,14.583,0.0,20.478,0.0,13.18,12.38189872593432,3.1119150321152755
GR,2015,2015-01-25,0.0,27.15,0.0,0.0,0.0,0.0,41.681000000000004,0.0,10.771,0.0,10.479,4.5430358600078895,4.838389309606341
GR,2019,2019-07-07,0.0,39.8549825498666,0.0,0.0,0.0,0.0,40.27335385776548,0.0,6.6361307769659295,0.0,8.10020024685252,3.689745875372743,4.318560054334455
GR,2023,2023-05-21,0.0,40.7902197665737,0.0,0.0,0.0,0.0,29.92430832815069,0.0,4.44703607446208,0.0,11.4550592663131,4.39224031430936,3.119093991100037
HR,1995,1995-10-29,0.0,0.0,0.0,0.0,0.0,18.259,8.93,14.556,50.24,0.0,0.0,3.8072870928993128,3.9156328049613327
